Time,MarkerID,Cam_X,Cam_Y,Cam_Z,Map_X,Map_Y,Map_Z
1770241774.06901,2,-0.220398,-0.864572,3.5755,1.5227,0.973203,1.66123
1770241774.03602,3,-0.259587,-0.86433,3.5745,1.52169,1.01239,1.66153
1770241720.38866,2,-0.445693,-0.863726,3.572,1.51908,1.1985,1.66227
1770241774.18671,1,-0.203924,-0.248418,3.919,1.50817,0.956718,0.955945
1770241720.52,1,-0.20382,-0.248291,3.917,1.50638,0.956612,0.956845
1770241774.03598,2,-0.229444,-0.851889,3.5635,1.50594,0.982236,1.65634
1770241774.14585,1,-0.203456,-0.247847,3.91,1.50011,0.956243,0.959996
1770241720.41974,2,-0.443631,-0.849977,3.5555,1.49789,1.19642,1.65873
1770241720.4197,1,-0.4136,-0.848423,3.549,1.49152,1.16638,1.66067
1770241773.99474,2,-0.257722,-0.848363,3.54875,1.4914,1.0105,1.66074
1770241773.96591,3,-0.281769,-0.847467,3.545,1.48769,1.03455,1.66186
1770241773.96586,2,-0.257081,-0.836554,3.54,1.47789,1.00985,1.65497
1770241773.91892,3,-0.30055,-0.835845,3.537,1.4749,1.05332,1.65587
1770241720.5657,0,-0.201478,-0.245439,3.872,1.46609,0.954239,0.977101
1770241774.10034,1,-0.201478,-0.245439,3.872,1.46609,0.954239,0.977101
1770241720.46293,2,-0.440141,-0.8336,3.5275,1.46546,1.1929,1.65873
1770241774.06891,1,-0.201322,-0.245249,3.869,1.46341,0.95408,0.978451
1770241720.46289,1,-0.410799,-0.83301,3.525,1.46303,1.16356,1.65948
1770241759.36578,2,1.34078,-0.891285,3.488,1.4619,-0.588029,1.72846
1770241759.12503,2,1.36462,-0.886433,3.48775,1.45926,-0.61187,1.7244
1770241759.10176,2,1.36912,-0.886244,3.487,1.45852,-0.616362,1.72462
1770241759.05987,2,1.36432,-0.886247,3.487,1.45851,-0.611565,1.72462
1770241773.91888,2,-0.265289,-0.831828,3.52,1.45823,1.01804,1.66098
1770241759.23441,2,1.3736,-0.886052,3.48625,1.45778,-0.620849,1.72483
1770241773.87874,3,-0.313561,-0.83171,3.5195,1.4577,1.06631,1.66113
1770241759.02291,2,1.36169,-0.883528,3.4876,1.45766,-0.608938,1.72197
1770241759.15989,2,1.36804,-0.885544,3.48425,1.45579,-0.615284,1.7254
1770241759.28795,2,1.37282,-0.885544,3.48425,1.45579,-0.620064,1.7254
1770241774.03591,1,-0.200854,-0.244678,3.86,1.45535,0.953606,0.982502
1770241758.99968,2,1.35538,-0.882428,3.4845,1.45442,-0.602625,1.72258
1770241759.18965,2,1.37203,-0.885036,3.48225,1.45381,-0.619278,1.72597
1770241759.25652,2,1.37203,-0.885036,3.48225,1.45381,-0.619277,1.72597
1770241759.47875,2,1.37632,-0.884715,3.481,1.45257,-0.623572,1.72633
1770241759.33175,2,1.37075,-0.88421,3.479,1.45059,-0.617999,1.7269
1770241759.36573,1,1.37075,-0.88421,3.479,1.45059,-0.617999,1.7269
1770241773.87869,2,-0.283922,-0.829819,3.5115,1.44986,1.03667,1.66354
1770241758.95574,2,1.35846,-0.879749,3.48017,1.44933,-0.605712,1.72246
1770241759.55502,2,1.37434,-0.883448,3.476,1.44761,-0.621593,1.72776
1770241759.51967,2,1.37365,-0.883,3.47425,1.44588,-0.620907,1.72825
1770241773.99464,1,-0.200282,-0.243981,3.849,1.44551,0.953025,0.987454
1770241759.38772,2,1.36858,-0.882812,3.4735,1.44513,-0.615836,1.72847
1770241759.62181,2,1.36331,-0.882499,3.47225,1.44389,-0.610572,1.72883
1770241759.417,2,1.36789,-0.882367,3.47175,1.4434,-0.615148,1.72897
1770241759.58761,2,1.3671,-0.881861,3.46975,1.44141,-0.614356,1.72954
1770241758.92041,2,1.36421,-0.873534,3.4745,1.44131,-0.611475,1.71995
1770241759.65669,2,1.36213,-0.881739,3.46925,1.44092,-0.609389,1.72969
1770241720.48891,1,-0.42316,-0.81913,3.507,1.44047,1.1759,1.65659
1770241758.88821,2,1.36859,-0.873278,3.4735,1.44032,-0.615851,1.72024
1770241759.72086,2,1.36065,-0.880788,3.4655,1.4372,-0.607913,1.73076
1770241759.70179,2,1.36046,-0.880659,3.465,1.4367,-0.607723,1.7309
1770241759.75587,2,1.35985,-0.880284,3.4635,1.43522,-0.607116,1.73133
1770241760.05592,2,1.37385,-0.875337,3.46275,1.43208,-0.621122,1.72744
1770241760.02574,2,1.37356,-0.875147,3.462,1.43134,-0.62083,1.72766
1770241773.8343,3,-0.339919,-0.825329,3.4925,1.43115,1.09265,1.66926
1770241759.81783,2,1.36046,-0.876601,3.4602,1.43051,-0.607727,1.72982
1770241720.58875,1,-0.199397,-0.242903,3.832,1.43029,0.952129,0.995106
1770241759.7894,2,1.36542,-0.874521,3.4595,1.42886,-0.612691,1.72838
1770241759.99603,2,1.37174,-0.872696,3.4598,1.4282,-0.619007,1.72665
1770241758.85526,2,1.35852,-0.869878,3.46,1.42694,-0.605795,1.72412
1770241758.8126,2,1.35802,-0.869569,3.45875,1.4257,-0.605296,1.72448
1770241760.10122,2,1.37962,-0.870803,3.45733,1.42512,-0.626897,1.72626
1770241760.1555,2,1.37282,-0.873203,3.45425,1.42367,-0.620095,1.72989
1770241773.83426,2,-0.310432,-0.823439,3.4845,1.42331,1.06316,1.67166
1770241759.87734,2,1.3657,-0.871281,3.4542,1.42265,-0.612978,1.72826
1770241760.12161,2,1.37856,-0.870129,3.45467,1.42248,-0.62583,1.72703
1770241760.18823,2,1.37509,-0.871235,3.454,1.42246,-0.62237,1.72832
1770241760.27476,2,1.38675,-0.869473,3.4546,1.4221,-0.634027,1.7265
1770241773.96578,1,-0.198877,-0.242269,3.822,1.42134,0.951601,0.999607
1770241759.91367,2,1.36506,-0.870881,3.4526,1.42106,-0.612338,1.72872
1770241760.21656,2,1.37342,-0.870173,3.4498,1.4183,-0.620703,1.72952
1770241760.3203,2,1.3849,-0.868315,3.45,1.41754,-0.632182,1.72782
1770241760.43333,2,1.37805,-0.867247,3.4495,1.41656,-0.625331,1.72715
1770241760.36759,2,1.38744,-0.86718,3.44925,1.41632,-0.634716,1.72722
1770241759.95486,2,1.36277,-0.86942,3.4468,1.41532,-0.610048,1.73039
1770241758.77884,2,1.35853,-0.866866,3.448,1.41506,-0.605814,1.72758
1770241760.38799,2,1.3819,-0.866677,3.44725,1.41434,-0.629178,1.72779
1770241760.45378,2,1.3691,-0.863429,3.44683,1.41233,-0.616382,1.7252
1770241720.52009,2,-0.42194,-0.805467,3.4812,1.4113,1.17466,1.65782
1770241773.80058,2,-0.352208,-0.820485,3.472,1.411,1.10492,1.67542
1770241773.80056,1,-0.328237,-0.820131,3.4705,1.40955,1.08095,1.67588
1770241758.68772,2,1.3601,-0.864856,3.44,1.40714,-0.60739,1.72988
1770241773.91875,1,-0.198044,-0.241255,3.806,1.40701,0.950757,1.00681
1770241758.71822,1,1.35527,-0.864797,3.43975,1.40689,-0.602561,1.72996
1770241773.7669,3,-0.370627,-0.819067,3.466,1.40509,1.12334,1.67723
1770241760.49291,2,1.36381,-0.857944,3.4375,1.4015,-0.611102,1.72518
1770241758.65666,2,1.36954,-0.860819,3.4352,1.40097,-0.616832,1.72882
1770241760.574,2,1.36438,-0.850466,3.439,1.39902,-0.611678,1.71796
1770241760.51774,2,1.37157,-0.853736,3.43325,1.39571,-0.618867,1.72369
1770241773.76686,2,-0.341099,-0.816704,3.456,1.39529,1.0938,1.68024
1770241720.56583,2,-0.422524,-0.799232,3.4625,1.39201,1.17523,1.66187
1770241773.73409,3,-0.383349,-0.815759,3.452,1.39133,1.13605,1.68144
1770241720.62062,0,-0.196951,-0.239924,3.785,1.38821,0.94965,1.01626
1770241773.8786,1,-0.196795,-0.239734,3.782,1.38553,0.949491,1.01761
1770241773.73404,2,-0.354093,-0.813868,3.444,1.38349,1.10679,1.68385
1770241760.61228,2,1.36338,-0.842159,3.4245,1.38231,-0.610683,1.71811
