Time,Cam_X,Cam_Y,Cam_Z,Map_X,Map_Y,Map_Z
1770241423.19706,0.513046,-0.636607,3.064,1.47297,-0.0821623,1.90066
1770241769.88164,0.821679,-0.250659,1.529,-0.581342,-0.0820869,1.53243
1770241423.09829,0.479731,-0.661405,3.238,1.67282,-0.0798453,1.90921
1770241752.71918,0.781367,-0.3785,1.853,-0.133191,-0.0796025,1.77618
1770241427.15947,0.258317,-0.349154,3.238,1.59191,-0.07904,1.85452
1770241752.67397,0.782317,-0.377276,1.863,-0.112046,-0.0787387,1.76922
1770241769.79351,0.818455,-0.249676,1.523,-0.590994,-0.0778037,1.53551
1770241752.89973,0.787895,-0.385157,1.823,-0.176608,-0.0775906,1.78492
1770241769.83811,0.818455,-0.249676,1.523,-0.587657,-0.076813,1.53364
1770241752.80616,0.787895,-0.385157,1.823,-0.172628,-0.0755492,1.78303
1770241752.80611,0.77715,-0.376457,1.843,-0.14491,-0.0741353,1.77529
1770241752.67509,0.778118,-0.375251,1.853,-0.124003,-0.0730264,1.76949
1770241423.10366,0.513046,-0.636607,3.064,1.48179,-0.0719533,1.89234
1770241423.01524,0.467129,-0.673468,3.269,1.71322,-0.0689593,1.91577
1770241423.09835,0.470842,-0.649149,3.178,1.61175,-0.0619316,1.9015
1770241423.59302,0.471889,-0.56969,2.789,1.15407,-0.0303521,1.89818
1770241423.59307,0.468167,-0.565197,2.767,1.12879,-0.0253371,1.8986
1770241423.59309,0.451174,-0.556209,2.723,1.08849,0.00035604,1.89412
1770241423.69299,0.447529,-0.551715,2.701,1.06366,0.00583681,1.8939
1770241423.69305,0.434651,-0.547426,2.68,1.04371,0.0194491,1.89357
1770241423.71329,0.431245,-0.543136,2.659,1.0196,0.0243125,1.89366
1770241423.79185,0.403273,-0.547798,2.659,1.02371,0.043046,1.90527
1770241423.80253,0.395612,-0.539051,2.639,0.995533,0.0434328,1.9057
1770241423.79189,0.40024,-0.543678,2.639,1.00011,0.0466406,1.90509
1770241424.18752,0.379613,-0.458608,2.503,0.817989,0.051529,1.87746
1770241423.89049,0.383284,-0.530171,2.618,0.975473,0.0559873,1.90086
1770241423.93435,0.382096,-0.51323,2.579,0.92852,0.0602201,1.89337
1770241424.20218,0.374153,-0.452012,2.467,0.785655,0.070307,1.87202
1770241423.89055,0.377574,-0.522273,2.579,0.937364,0.0719173,1.89553
1770241424.18748,0.368169,-0.459667,2.485,0.811441,0.0724523,1.87066
1770241423.98943,0.376466,-0.505667,2.541,0.890449,0.0746018,1.88823
1770241424.08926,0.362059,-0.476162,2.503,0.839293,0.0787658,1.87753
1770241424.28665,0.371575,-0.448897,2.45,0.769047,0.0788395,1.87215
1770241423.98948,0.369229,-0.497465,2.522,0.870092,0.0819529,1.88392
1770241424.1564,0.359455,-0.472738,2.485,0.818792,0.0837735,1.87756
1770241424.08921,0.362059,-0.489328,2.503,0.843629,0.0841171,1.88552
1770241423.9895,0.362059,-0.489328,2.503,0.849768,0.0890344,1.87912
1770241426.46597,0.371246,-0.289253,2.598,0.981095,0.137777,1.812
1770241426.36717,0.364009,-0.287137,2.579,0.968468,0.155524,1.8101
1770241426.3671,0.361327,-0.285022,2.56,0.953188,0.167686,1.80786
1770241424.60572,0.294478,-0.413917,2.349,0.699826,0.195454,1.87894
1770241426.26853,0.348893,-0.269898,2.503,0.909239,0.203212,1.78723
1770241424.68317,0.286241,-0.409799,2.349,0.700092,0.203241,1.88507
1770241424.60578,0.292473,-0.411098,2.333,0.685272,0.20482,1.87862
1770241424.68323,0.284292,-0.407007,2.333,0.684946,0.212401,1.88568
1770241426.2685,0.343875,-0.266017,2.467,0.878704,0.222619,1.78105
1770241424.69638,0.268289,-0.39739,2.301,0.663386,0.240699,1.87631
1770241424.78257,0.26654,-0.3948,2.286,0.64969,0.249619,1.87637
1770241426.26844,0.326204,-0.270771,2.432,0.852419,0.253974,1.78547
1770241751.4655,0.523541,-0.232179,1.731,-0.0422025,0.257621,1.63186
1770241426.17396,0.323924,-0.268878,2.415,0.836744,0.263708,1.78711
1770241751.42045,0.518097,-0.229765,1.713,-0.052778,0.274752,1.63057
1770241424.82791,0.235353,-0.373797,2.256,0.638731,0.290647,1.85708
1770241751.37482,0.512955,-0.221537,1.696,-0.0612874,0.291547,1.62408
1770241426.16854,0.296417,-0.254372,2.398,0.830777,0.293942,1.77907
1770241426.17391,0.296417,-0.254372,2.398,0.833077,0.294925,1.77442
1770241751.3748,0.508116,-0.219447,1.68,-0.0717362,0.305762,1.62304
1770241424.82796,0.232224,-0.368826,2.226,0.613913,0.308856,1.85227
1770241751.37475,0.508324,-0.203622,1.671,-0.076085,0.311666,1.60968
1770241751.28811,0.508324,-0.203622,1.671,-0.0749367,0.31461,1.61336
1770241424.88152,0.218072,-0.371311,2.241,0.632167,0.316175,1.86151
1770241751.24327,0.508324,-0.194833,1.671,-0.0724042,0.317284,1.60884
1770241426.08402,0.279898,-0.242578,2.365,0.807209,0.320204,1.76596
1770241426.08398,0.278004,-0.240937,2.349,0.791831,0.326958,1.76476
1770241751.24322,0.50589,-0.1939,1.663,-0.0756881,0.327079,1.60965
1770241424.88157,0.208806,-0.368826,2.226,0.623094,0.333832,1.86193
1770241424.91881,0.208806,-0.368826,2.226,0.623021,0.337025,1.8667
1770241426.08386,0.259165,-0.271604,2.365,0.807109,0.338421,1.801
1770241751.19817,0.504337,-0.193976,1.639,-0.093336,0.343768,1.60978
1770241751.15277,0.501023,-0.186259,1.647,-0.0809687,0.347683,1.60742
1770241425.00992,0.17878,-0.367382,2.241,0.642554,0.356165,1.88261
1770241424.97962,0.17878,-0.367382,2.241,0.64545,0.356891,1.87761
1770241424.97956,0.17878,-0.367382,2.241,0.648262,0.357327,1.87234
1770241751.15275,0.49646,-0.184563,1.632,-0.090387,0.361717,1.60698
1770241425.09574,0.17485,-0.367382,2.241,0.643098,0.364719,1.89296
1770241425.0956,0.177583,-0.364923,2.226,0.629358,0.365281,1.88204
1770241425.09577,0.17485,-0.367382,2.241,0.642874,0.367514,1.89755
1770241425.17867,0.16811,-0.36193,2.256,0.659807,0.370624,1.90119
1770241751.0649,0.496874,-0.183658,1.624,-0.0942294,0.371778,1.61202
1770241751.01973,0.49646,-0.181701,1.632,-0.0846516,0.372618,1.61495
1770241751.1527,0.494426,-0.182753,1.616,-0.101671,0.373995,1.6064
1770241425.17859,0.166992,-0.359524,2.241,0.647482,0.377205,1.89499
1770241750.97543,0.494026,-0.180811,1.624,-0.0873523,0.383923,1.61706
1770241750.97537,0.485484,-0.183658,1.624,-0.0814128,0.396788,1.62267
1770241750.88362,0.482637,-0.186506,1.624,-0.0746843,0.410793,1.63348
1770241750.8836,0.479789,-0.183658,1.624,-0.0705405,0.417952,1.63403
1770241750.88355,0.479789,-0.183658,1.624,-0.0679018,0.422937,1.63754
1770241718.63625,0.395818,-0.727357,3.859,2.41018,0.439775,2.00089
1770241750.74848,0.474592,-0.185587,1.616,-0.0681683,0.44131,1.64529
1770241750.70257,0.471759,-0.185587,1.616,-0.0644008,0.449499,1.64938
1770241718.63295,0.379801,-0.73565,3.903,2.46223,0.453161,1.99056
1770241750.70251,0.466894,-0.187604,1.609,-0.0664318,0.461949,1.65293
1770241750.65748,0.466894,-0.187604,1.609,-0.0641023,0.466908,1.65655
1770241750.65743,0.454759,-0.194087,1.616,-0.0530317,0.479923,1.66745
